"","cell_id","new_clusters"
"733","cell_1344","5"
"734","cell_1348","5"
"735","cell_1350","5"
"736","cell_1352","5"
"737","cell_1353","4"
"738","cell_1354","4"
"739","cell_1355","6"
"740","cell_1356","5"
"741","cell_1357","4"
"742","cell_1358","4"
"743","cell_1362","5"
"744","cell_1364","4"
"745","cell_1367","4"
"746","cell_1369","5"
"747","cell_1373","4"
"748","cell_1374","4"
"749","cell_1376","1"
"750","cell_1378","5"
"751","cell_1380","3"
"752","cell_1382","4"
"753","cell_1385","1"
"754","cell_1390","4"
"755","cell_1392","4"
"756","cell_1393","1"
"757","cell_1394","1"
"758","cell_1397","8"
"759","cell_1398","6"
"760","cell_1399","4"
"761","cell_1401","4"
"762","cell_1402","1"
"763","cell_1404","3"
"764","cell_1405","5"
"765","cell_1409","1"
"766","cell_1410","6"
"767","cell_1411","1"
"768","cell_1412","1"
"769","cell_1414","4"
"770","cell_1416","4"
"771","cell_1421","6"
"772","cell_1424","3"
"773","cell_1428","1"
"774","cell_1430","1"
"775","cell_1432","4"
"776","cell_1435","6"
"777","cell_1438","4"
"778","cell_1441","1"
"779","cell_1446","8"
"780","cell_1447","6"
"781","cell_1450","3"
"782","cell_1451","1"
"783","cell_1453","3"
"784","cell_1454","5"
"785","cell_1455","4"
"786","cell_1456","5"
"787","cell_1457","4"
"788","cell_1459","4"
"789","cell_1461","5"
"790","cell_1462","4"
"791","cell_1464","5"
"792","cell_1465","6"
"793","cell_1466","1"
"794","cell_1467","5"
"795","cell_1468","4"
"796","cell_1469","4"
"797","cell_1470","4"
"798","cell_1472","5"
"799","cell_1475","4"
"800","cell_1477","1"
"801","cell_1479","6"
"802","cell_1484","5"
"803","cell_1485","5"
"804","cell_1486","4"
"805","cell_1488","3"
"806","cell_1490","5"
"807","cell_1492","4"
"808","cell_1494","5"
"809","cell_1496","5"
"810","cell_1500","5"
"811","cell_1503","5"
"812","cell_1505","4"
"813","cell_1509","6"
"814","cell_1510","4"
"815","cell_1511","5"
"816","cell_1512","5"
"817","cell_1514","4"
"818","cell_1516","5"
"819","cell_1521","5"
"820","cell_1522","4"
"821","cell_1526","5"
"822","cell_1528","4"
"823","cell_1529","5"
"824","cell_1530","5"
"825","cell_1532","4"
"826","cell_1534","4"
"827","cell_1539","5"
"828","cell_1540","5"
"829","cell_1544","1"
"830","cell_1545","5"
"831","cell_1546","6"
"832","cell_1547","5"
"833","cell_1548","4"
"834","cell_1549","5"
"835","cell_1550","5"
"836","cell_1552","5"
"837","cell_1553","1"
"838","cell_1554","5"
"839","cell_1557","3"
"840","cell_1559","5"
"841","cell_1560","4"
"842","cell_1561","4"
"843","cell_1563","5"
"844","cell_1565","4"
"845","cell_1570","5"
"846","cell_1573","5"
"847","cell_1574","6"
"848","cell_1575","4"
"849","cell_1577","5"
"850","cell_1578","5"
"851","cell_1581","1"
"852","cell_1586","6"
"853","cell_1587","6"
"854","cell_1588","1"
"855","cell_1589","1"
"856","cell_1591","6"
